"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1622637111,0,0,0,0,0,4359,9068,8874,18151,4319,8969,8792,17952,40,99,82,199
1622637112,0,0,0,0,0,4375,9104,8904,18223,4359,9068,8874,18151,16,36,30,72
1622637113,0,0,0,0,0,4394,9152,8944,18319,4375,9104,8904,18223,19,48,40,96
1622637114,0,0,0,0,0,4415,9200,8984,18415,4394,9152,8944,18319,21,48,40,96
1622637115,0,0,0,0,0,4427,9229,9010,18473,4415,9200,8984,18415,12,29,26,58
1622637116,0,0,0,0,0,4450,9286,9056,18587,4427,9229,9010,18473,23,57,46,114
1622637117,0,0,0,0,0,4465,9322,9086,18659,4450,9286,9056,18587,15,36,30,72
1622637118,0,0,0,0,0,4485,9370,9126,18755,4465,9322,9086,18659,20,48,40,96
1622637119,0,0,0,0,0,4500,9406,9156,18827,4485,9370,9126,18755,15,36,30,72
1622637120,0,0,0,0,0,4521,9453,9198,18922,4500,9406,9156,18827,21,47,42,95
1622637121,0,0,0,0,0,4541,9500,9236,19016,4521,9453,9198,18922,20,47,38,94
1622637122,0,0,0,0,0,4556,9536,9266,19088,4541,9500,9236,19016,15,36,30,72
1622637123,0,0,0,0,0,4576,9584,9306,19184,4556,9536,9266,19088,20,48,40,96
1622637124,0,0,0,0,0,4590,9620,9336,19256,4576,9584,9306,19184,14,36,30,72
1622637125,0,0,0,0,0,4610,9668,9376,19352,4590,9620,9336,19256,20,48,40,96
1622637126,0,0,0,0,0,4631,9716,9416,19448,4610,9668,9376,19352,21,48,40,96
1622637127,0,0,0,0,0,4646,9752,9446,19520,4631,9716,9416,19448,15,36,30,72
1622637128,0,0,0,0,0,4666,9799,9486,19615,4646,9752,9446,19520,20,47,40,95
1622637129,0,0,0,0,0,4681,9834,9516,19685,4666,9799,9486,19615,15,35,30,70
1622637130,0,0,0,0,0,4701,9882,9556,19781,4681,9834,9516,19685,20,48,40,96
1622637131,0,0,0,0,0,4720,9930,9596,19877,4701,9882,9556,19781,19,48,40,96
1622637132,0,0,0,0,0,4736,9966,9626,19949,4720,9930,9596,19877,16,36,30,72
1622637133,0,0,0,0,0,4756,10014,9666,20045,4736,9966,9626,19949,20,48,40,96
1622637134,0,0,0,0,0,4770,10050,9696,20117,4756,10014,9666,20045,14,36,30,72
1622637135,0,0,0,0,0,4791,10098,9736,20213,4770,10050,9696,20117,21,48,40,96
1622637136,0,0,0,0,0,4810,10145,9776,20307,4791,10098,9736,20213,19,47,40,94
1622637137,0,0,0,0,0,4826,10181,9806,20379,4810,10145,9776,20307,16,36,30,72
1622637138,0,0,0,0,0,4846,10229,9846,20475,4826,10181,9806,20379,20,48,40,96
1622637139,0,0,0,0,0,4858,10258,9872,20533,4846,10229,9846,20475,12,29,26,58
1622637140,0,0,0,0,0,4881,10312,9916,20642,4858,10258,9872,20533,23,54,44,109
1622637141,0,0,0,0,0,4900,10360,9956,20738,4881,10312,9916,20642,19,48,40,96
1622637142,0,0,0,0,0,4916,10396,9986,20810,4900,10360,9956,20738,16,36,30,72
1622637144,0,0,0,0,0,4937,10444,10028,20906,4916,10396,9986,20810,21,48,42,96
1622637145,0,0,0,0,0,4972,10532,10100,21082,4937,10444,10028,20906,35,88,72,176
1622637146,0,0,0,0,0,4988,10568,10130,21154,4972,10532,10100,21082,16,36,30,72
1622637147,0,0,0,0,0,5008,10617,10172,21253,4988,10568,10130,21154,20,49,42,99
1622637149,0,0,0,0,0,5015,10629,10184,21277,5008,10617,10172,21253,7,12,12,24
1622637150,0,0,0,0,0,5062,10744,10278,21507,5015,10629,10184,21277,47,115,94,230
1622637151,0,0,0,0,0,5076,10780,10308,21579,5062,10744,10278,21507,14,36,30,72
1622637152,0,0,0,0,0,5096,10824,10346,21668,5076,10780,10308,21579,20,44,38,89
1622637153,0,0,0,0,0,5116,10872,10386,21764,5096,10824,10346,21668,20,48,40,96
1622637154,0,0,0,0,0,5130,10908,10416,21836,5116,10872,10386,21764,14,36,30,72
1622637155,0,0,0,0,0,5150,10955,10456,21931,5130,10908,10416,21836,20,47,40,95
1622637156,0,0,0,0,0,5169,11000,10494,22021,5150,10955,10456,21931,19,45,38,90
1622637157,0,0,0,0,0,5184,11036,10524,22093,5169,11000,10494,22021,15,36,30,72
1622637158,0,0,0,0,0,5204,11084,10564,22189,5184,11036,10524,22093,20,48,40,96
