"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1625762626,0,0,0,0,0,2607,6149,5348,12311,2587,6101,5308,12215,20,48,40,96
1625762627,0,0,0,0,0,2622,6184,5378,12381,2607,6149,5348,12311,15,35,30,70
1625762628,0,0,0,0,0,2642,6232,5418,12477,2622,6184,5378,12381,20,48,40,96
1625762629,0,0,0,0,0,2650,6251,5434,12515,2642,6232,5418,12477,8,19,16,38
1625762630,0,0,0,0,0,2679,6321,5492,12655,2650,6251,5434,12515,29,70,58,140
1625762631,0,0,0,0,0,2694,6357,5522,12727,2679,6321,5492,12655,15,36,30,72
1625762632,0,0,0,0,0,2714,6405,5562,12823,2694,6357,5522,12727,20,48,40,96
1625762633,0,0,0,0,0,2734,6452,5602,12917,2714,6405,5562,12823,20,47,40,94
1625762634,0,0,0,0,0,2749,6488,5632,12989,2734,6452,5602,12917,15,36,30,72
1625762635,0,0,0,0,0,2769,6536,5672,13085,2749,6488,5632,12989,20,48,40,96
1625762636,0,0,0,0,0,2784,6572,5702,13157,2769,6536,5672,13085,15,36,30,72
1625762637,0,0,0,0,0,2804,6620,5742,13253,2784,6572,5702,13157,20,48,40,96
1625762638,0,0,0,0,0,2824,6668,5782,13349,2804,6620,5742,13253,20,48,40,96
1625762639,0,0,0,0,0,2839,6704,5812,13421,2824,6668,5782,13349,15,36,30,72
1625762640,0,0,0,0,0,2859,6751,5852,13515,2839,6704,5812,13421,20,47,40,94
1625762641,0,0,0,0,0,2874,6787,5882,13587,2859,6751,5852,13515,15,36,30,72
1625762642,0,0,0,0,0,2894,6835,5922,13683,2874,6787,5882,13587,20,48,40,96
1625762643,0,0,0,0,0,2914,6883,5962,13779,2894,6835,5922,13683,20,48,40,96
1625762644,0,0,0,0,0,2929,6919,5992,13851,2914,6883,5962,13779,15,36,30,72
1625762645,0,0,0,0,0,2949,6967,6032,13947,2929,6919,5992,13851,20,48,40,96
1625762646,0,0,0,0,0,2964,7003,6062,14019,2949,6967,6032,13947,15,36,30,72
1625762647,0,0,0,0,0,2984,7051,6102,14115,2964,7003,6062,14019,20,48,40,96
1625762648,0,0,0,0,0,3004,7098,6142,14209,2984,7051,6102,14115,20,47,40,94
1625762649,0,0,0,0,0,3019,7134,6172,14281,3004,7098,6142,14209,15,36,30,72
1625762650,0,0,0,0,0,3039,7182,6212,14377,3019,7134,6172,14281,20,48,40,96
1625762651,0,0,0,0,0,3054,7218,6242,14449,3039,7182,6212,14377,15,36,30,72
1625762652,0,0,0,0,0,3074,7266,6282,14545,3054,7218,6242,14449,20,48,40,96
1625762653,0,0,0,0,0,3094,7314,6322,14641,3074,7266,6282,14545,20,48,40,96
1625762655,0,0,0,0,0,3104,7335,6342,14683,3094,7314,6322,14641,10,21,20,42
1625762656,0,0,0,0,0,3147,7441,6428,14895,3104,7335,6342,14683,43,106,86,212
1625762657,0,0,0,0,0,3162,7476,6458,14965,3147,7441,6428,14895,15,35,30,70
1625762658,0,0,0,0,0,3182,7524,6498,15061,3162,7476,6458,14965,20,48,40,96
1625762659,0,0,0,0,0,3202,7572,6538,15157,3182,7524,6498,15061,20,48,40,96
1625762660,0,0,0,0,0,3217,7608,6568,15229,3202,7572,6538,15157,15,36,30,72
1625762661,0,0,0,0,0,3237,7656,6608,15325,3217,7608,6568,15229,20,48,40,96
1625762662,0,0,0,0,0,3252,7692,6638,15397,3237,7656,6608,15325,15,36,30,72
1625762663,0,0,0,0,0,3272,7739,6678,15492,3252,7692,6638,15397,20,47,40,95
1625762664,0,0,0,0,0,3292,7786,6718,15586,3272,7739,6678,15492,20,47,40,94
1625762665,0,0,0,0,0,3307,7822,6748,15658,3292,7786,6718,15586,15,36,30,72
1625762666,0,0,0,0,0,3327,7870,6788,15754,3307,7822,6748,15658,20,48,40,96
1625762667,0,0,0,0,0,3338,7896,6810,15806,3327,7870,6788,15754,11,26,22,52
1625762668,0,0,0,0,0,3361,7951,6856,15917,3338,7896,6810,15806,23,55,46,111
1625762669,0,0,0,0,0,3381,7998,6896,16011,3361,7951,6856,15917,20,47,40,94
1625762670,0,0,0,0,0,3396,8034,6926,16083,3381,7998,6896,16011,15,36,30,72
1625762671,0,0,0,0,0,3416,8081,6966,16178,3396,8034,6926,16083,20,47,40,95
1625762672,0,0,0,0,0,3436,8129,7006,16274,3416,8081,6966,16178,20,48,40,96
1625762673,0,0,0,0,0,3451,8165,7036,16346,3436,8129,7006,16274,15,36,30,72
1625762674,0,0,0,0,0,3471,8213,7076,16442,3451,8165,7036,16346,20,48,40,96
1625762675,0,0,0,0,0,3486,8249,7106,16514,3471,8213,7076,16442,15,36,30,72
1625762676,0,0,0,0,0,3506,8296,7146,16608,3486,8249,7106,16514,20,47,40,94
1625762677,0,0,0,0,0,3526,8344,7186,16704,3506,8296,7146,16608,20,48,40,96
1625762678,0,0,0,0,0,3541,8380,7216,16776,3526,8344,7186,16704,15,36,30,72
1625762679,0,0,0,0,0,3561,8427,7256,16871,3541,8380,7216,16776,20,47,40,95
1625762680,0,0,0,0,0,3571,8449,7276,16915,3561,8427,7256,16871,10,22,20,44
1625762681,0,0,0,0,0,3596,8511,7326,17039,3571,8449,7276,16915,25,62,50,124
1625762682,0,0,0,0,0,3616,8559,7366,17135,3596,8511,7326,17039,20,48,40,96
1625762683,0,0,0,0,0,3631,8595,7396,17207,3616,8559,7366,17135,15,36,30,72
1625762684,0,0,0,0,0,3651,8642,7436,17301,3631,8595,7396,17207,20,47,40,94
1625762685,0,0,0,0,0,3666,8678,7466,17373,3651,8642,7436,17301,15,36,30,72
1625762686,0,0,0,0,0,3686,8726,7506,17469,3666,8678,7466,17373,20,48,40,96
1625762687,0,0,0,0,0,3706,8773,7546,17564,3686,8726,7506,17469,20,47,40,95
1625762688,0,0,0,0,0,3721,8809,7576,17636,3706,8773,7546,17564,15,36,30,72
1625762689,0,0,0,0,0,3742,8859,7618,17736,3721,8809,7576,17636,21,50,42,100
1625762690,0,0,0,0,0,3756,8893,7646,17804,3742,8859,7618,17736,14,34,28,68
1625762691,0,0,0,0,0,3776,8938,7686,17894,3756,8893,7646,17804,20,45,40,90
1625762692,0,0,0,0,0,3795,8986,7724,17990,3776,8938,7686,17894,19,48,38,96
1625762693,0,0,0,0,0,3810,9022,7754,18062,3795,8986,7724,17990,15,36,30,72
1625762694,0,0,0,0,0,3830,9070,7794,18158,3810,9022,7754,18062,20,48,40,96
1625762695,0,0,0,0,0,3851,9118,7836,18254,3830,9070,7794,18158,21,48,42,96
1625762696,0,0,0,0,0,3868,9161,7870,18340,3851,9118,7836,18254,17,43,34,86
1625762697,0,0,0,0,0,3883,9196,7900,18410,3868,9161,7870,18340,15,35,30,70
1625762698,0,0,0,0,0,3903,9244,7940,18506,3883,9196,7900,18410,20,48,40,96
1625762699,0,0,0,0,0,3918,9280,7970,18578,3903,9244,7940,18506,15,36,30,72
1625762700,0,0,0,0,0,3938,9328,8010,18674,3918,9280,7970,18578,20,48,40,96
1625762701,0,0,0,0,0,3958,9376,8050,18770,3938,9328,8010,18674,20,48,40,96
1625762702,0,0,0,0,0,3973,9412,8080,18842,3958,9376,8050,18770,15,36,30,72
1625762703,0,0,0,0,0,3993,9460,8120,18938,3973,9412,8080,18842,20,48,40,96
1625762704,0,0,0,0,0,4008,9496,8150,19010,3993,9460,8120,18938,15,36,30,72
1625762705,0,0,0,0,0,4028,9543,8190,19104,4008,9496,8150,19010,20,47,40,94
1625762706,0,0,0,0,0,4048,9591,8230,19200,4028,9543,8190,19104,20,48,40,96
1625762707,0,0,0,0,0,4063,9627,8260,19272,4048,9591,8230,19200,15,36,30,72
1625762708,0,0,0,0,0,4083,9675,8300,19368,4063,9627,8260,19272,20,48,40,96
1625762709,0,0,0,0,0,4098,9711,8330,19440,4083,9675,8300,19368,15,36,30,72
1625762710,0,0,0,0,0,4110,9737,8354,19492,4098,9711,8330,19440,12,26,24,52
1625762711,0,0,0,0,0,4134,9797,8402,19612,4110,9737,8354,19492,24,60,48,120
1625762713,0,0,0,0,0,4150,9833,8434,19684,4134,9797,8402,19612,16,36,32,72
1625762714,0,0,0,0,0,4192,9936,8518,19890,4150,9833,8434,19684,42,103,84,206
1625762715,0,0,0,0,0,4207,9971,8548,19961,4192,9936,8518,19890,15,35,30,71
1625762716,0,0,0,0,0,4227,10019,8588,20057,4207,9971,8548,19961,20,48,40,96
1625762717,0,0,0,0,0,4242,10054,8618,20127,4227,10019,8588,20057,15,35,30,70
1625762718,0,0,0,0,0,4262,10102,8658,20223,4242,10054,8618,20127,20,48,40,96
1625762719,0,0,0,0,0,4282,10150,8698,20319,4262,10102,8658,20223,20,48,40,96
1625762720,0,0,0,0,0,4297,10186,8728,20391,4282,10150,8698,20319,15,36,30,72
1625762721,0,0,0,0,0,4317,10234,8768,20487,4297,10186,8728,20391,20,48,40,96
1625762722,0,0,0,0,0,4332,10270,8798,20559,4317,10234,8768,20487,15,36,30,72
